City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
247,Ambulu,ID,-8.345,113.6058,73.08,90,5,3.31,clear sky
248,Kidal,ML,18.4411,1.4078,99.63,17,12,5.3,few clouds
249,Razdolinsk,RU,58.4211,94.6658,46.42,96,86,0.6,overcast clouds
250,Porto Torres,IT,40.835,8.3972,82.58,71,0,1.9,clear sky
251,La Romana,DO,18.4273,-68.9728,91.76,62,75,9.22,broken clouds
252,San Policarpo,PH,12.1791,125.5072,78.57,87,10,4.43,clear sky
253,Bandar-E Lengeh,IR,26.5579,54.8807,96.91,52,100,0.0,haze
254,Mayskiy,RU,47.6931,40.1025,74.61,40,0,7.58,clear sky
255,Umm Lajj,SA,25.0213,37.2685,86.27,58,0,8.23,clear sky
256,Lakatoro,VU,-16.0999,167.4164,76.55,85,81,14.03,broken clouds
257,Sabla,NG,12.7525,4.7077,78.48,82,100,15.57,heavy intensity rain
258,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,100,20,6.71,few clouds
259,Iqaluit,CA,63.7506,-68.5145,71.33,43,20,19.57,few clouds
260,Wajir,KE,1.7471,40.0573,73.36,88,75,3.44,broken clouds
261,Lorengau,PG,-2.0226,147.2712,79.61,80,100,10.58,overcast clouds
262,Bubaque,GW,11.2833,-15.8333,80.83,79,100,13.44,overcast clouds
263,Sokoni,TZ,-6.4333,39.55,76.28,83,88,14.85,overcast clouds
264,Bejar,ES,40.3864,-5.7634,87.58,15,77,3.06,broken clouds
265,Half Moon Bay,US,37.4636,-122.4286,80.89,72,75,13.8,mist
266,Isangel,VU,-19.55,169.2667,71.71,73,100,11.5,overcast clouds
267,Bonavista,CA,48.6499,-53.1147,58.73,89,99,11.48,overcast clouds
268,Kruisfontein,ZA,-34.0033,24.7314,53.62,84,100,4.29,overcast clouds
269,Kirensk,RU,57.7853,108.1119,54.91,97,100,1.16,overcast clouds
270,Kodiak,US,57.79,-152.4072,58.51,82,0,4.61,clear sky
271,Hasaki,JP,35.7333,140.8333,73.8,96,93,5.44,overcast clouds
272,Brae,GB,60.3964,-1.353,52.34,79,65,12.39,broken clouds
273,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,66,40,5.75,scattered clouds
274,Lincoln,US,40.8,-96.667,96.28,55,0,7.0,clear sky
275,Moerai,PF,-22.4333,-151.3333,71.87,60,42,25.86,scattered clouds
